User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:42:52Z,iam.amazonaws.com,AddUserToGroup,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",75813655-6d38-4072-817d-788ed894f78b,d9daa75e-5722-4ed6-bc8a-314997c14cfa,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:42:51Z,iam.amazonaws.com,CreateUser,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVOND4K7I3CEWDDNDZ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::374542718929:user/Accountant""}]",afc1758d-fed5-4ef6-86f6-08f2632309f2,f7ba7ad5-b1f0-45ec-a2d4-9d3cbd9230c6,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:42:01Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",f7b89273-a42d-45c3-9469-2e0556cb280b,cae9ef57-414e-41d1-bc52-27c087f249ae,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:42:00Z,iam.amazonaws.com,AddUserToGroup,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",6b6cfed4-dcea-467d-ba4f-76046a013da2,01fa7c7f-2e9a-4d38-956d-cfbe397c6879,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:42:00Z,iam.amazonaws.com,CreateUser,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVOND4K7I5PYQ67BKH""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::374542718929:user/CloudTrail""}]",7280ea6d-1c64-4db9-86a0-36a06439e58b,1bb094e0-ce7c-4da2-a398-918275b8d1a8,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:37:43Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",56903e08-7174-4be4-97a4-b9ff707ffc4d,390e576e-f52e-47d2-9044-8a62424bcdad,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:37:43Z,iam.amazonaws.com,CreateGroup,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVOND4K7IUAKJ4YHZD""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::374542718929:group/Reviewers""}]",cc5676da-80e9-4451-9b7e-0496a6fe3289,5a638be1-e9ee-4f99-bdfb-eaf641eeb05b,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:37:13Z,iam.amazonaws.com,CreateGroup,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVOND4K7IV4WLE5REK""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::374542718929:group/CloudTrailAdmins""}]",d41e1a70-b33d-4e1e-aeb4-de868ddfab6a,4a96ffb7-12a4-4cbc-8855-a67eb138b608,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:37:13Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",2fcc6bbf-a690-4026-b609-ef6031d9238f,6248fbb3-cfdd-4d46-9c83-a879b7f6e18b,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:37:13Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",db561dce-0468-41e1-ae46-590e6c74b150,8bf28bd1-acd2-4fe6-9a9c-7826bf8ba84a,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:37:13Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",f8f89934-fa83-4a04-9e73-8a90527c9814,f044e33e-3ecd-43ba-926c-f74d61345d4e,false,AwsApiCall,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:31:39Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,104.12.53.248,console.amazonaws.com,,[],e4ac5597-f4e2-4895-97ee-cefac725baa5,e395fa3f-085d-46ba-8c1b-c0f9870e0a37,false,AwsApiCall,374542718929,Management
cbirdsey,,2020-11-26T15:28:22Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,af3169c8-ec89-42c3-a850-7725088b39cf,false,AwsConsoleSignIn,374542718929,Management
root,ASIAVOND4K7IWNQ77OYQ,2020-11-26T15:07:02Z,rds.amazonaws.com,DeleteDBSnapshot,us-east-1,104.12.53.248,aws-internal/3 aws-sdk-java/1.11.848 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.202-b08 java/1.8.0_202 vendor/Oracle_Corporation,,"[{""resourceType"":""AWS::RDS::DBInstance"",""resourceName"":""cdr""},{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-ed294297""},{""resourceType"":""AWS::RDS::DBSnapshot"",""resourceName"":""cdr-final-snapshot""},{""resourceType"":""AWS::RDS::DBOptionGroup"",""resourceName"":""default:postgres-11""}]",fc36c00b-6aa5-4173-b533-3c0ff53d2ccc,d73121a6-0ece-48d5-963b-d351b2685948,false,AwsApiCall,374542718929,Management
root,,2020-11-26T15:05:52Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,ea6e7a0f-e0a3-4457-a6ee-ddac81825f76,false,AwsConsoleSignIn,374542718929,Management
root,,2020-11-26T15:05:34Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,8cff4d0d-9168-4e67-84bd-a9d24fe0aeaf,false,AwsConsoleSignIn,374542718929,Management
cbirdsey,,2020-11-26T15:03:45Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,97d81238-23f6-4fd0-baea-16275e165383,false,AwsConsoleSignIn,374542718929,Management
cbirdsey,,2020-11-03T03:34:49Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",,[],,af870bcb-abf7-4278-a04d-674ec6924b59,,AwsConsoleSignIn,374542718929,
cbirdsey,,2020-10-14T01:50:53Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",,[],,107ab20a-70fe-4f12-a41f-05805bbe7b3f,,AwsConsoleSignIn,374542718929,
cbirdsey,,2020-10-13T13:44:33Z,ec2.amazonaws.com,DeleteVpc,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-00ad567dcc526deb8""}]",464ea53b-6352-4b85-b9cb-aee478ca4710,480f8a52-da6c-4600-ab84-92f19cd5438b,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:44:26Z,ec2.amazonaws.com,DeleteSecurityGroup,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-09bad3bc88bad24d3""}]",ad07fb5f-8044-4b5b-acdc-98e4e826270f,a37da794-7ee4-4a23-8662-0262d385bffa,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:44:23Z,ec2.amazonaws.com,DeleteSecurityGroup,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0ff9016e05a7289a5""}]",45ad55a6-835d-4f8a-a9f7-222f629320be,fa7cb084-f1ed-4f28-a2a0-2dd663d650ff,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:44:16Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0fbf8b6b7ff452e64""}]",d866f8c4-23a8-444d-8b21-464d75ba2060,2a101700-0809-426f-bb1d-7008604b57bf,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:42:39Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-039e7fd718f76dbf2""}]",95a322ab-fde6-4398-aab0-436d5bb7d082,41df7df4-005d-47a7-b387-e652521d31ee,,AwsApiCall,374542718929,
SLRManagement,,2020-10-13T13:41:39Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,rds.amazonaws.com,rds.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-04605577333030dac""}]",0063386f-cc8c-48b1-9723-6fe2fa9a013a,1e9515d8-1447-48a7-96c8-ecfe61b36410,,AwsApiCall,374542718929,
SLRManagement,,2020-10-13T13:41:39Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,rds.amazonaws.com,rds.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-050fb36efe01a8f68""}]",b5439353-7f98-4ae1-a501-6ee101e21d49,8383c76a-6ab7-4312-aa6c-ab6e0c82a396,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:41:28Z,ec2.amazonaws.com,DeleteInternetGateway,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0763ef1e218e74002""}]",2c41ea49-dc56-4145-a102-556c9986bb49,898dea9a-c077-4d3c-acd3-7d8faff206e2,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:41:12Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-083caa1e7f88d9f0b""}]",4cea7b61-9c1b-4ec4-94d0-5c3e0e7ff0ee,6426d41f-512f-4593-ac82-0ecf305a8471,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:41:11Z,ec2.amazonaws.com,DetachInternetGateway,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-00ad567dcc526deb8""},{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0763ef1e218e74002""}]",be7e8225-dc5b-4af6-b775-db2bfc14f3ce,091d06d1-c516-4508-8d24-42bb3c36df91,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:39:56Z,ec2.amazonaws.com,DeleteSecurityGroup,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0ff9016e05a7289a5""}]",328bccfb-672d-4ad3-95f8-06183296f581,34162e74-2636-4720-96df-98e5c4265e99,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:39:51Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0fbf8b6b7ff452e64""}]",e46b596f-3148-41f7-9160-28eac6d8a669,2439850d-760a-46d9-87bb-a2226e6e02bd,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:39:44Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-039e7fd718f76dbf2""}]",7f4b155a-8137-4f97-a254-53c6a3b3e16a,259689e8-da4b-45e2-b2ad-b2f8cde162ee,,AwsApiCall,374542718929,
cbirdsey,ASIAVOND4K7IQ22KWU77,2020-10-13T13:38:30Z,ec2.amazonaws.com,TerminateInstances,us-east-1,104.12.53.248,console.ec2.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0e399a6fe1e5d859f""}]",69141544-2135-44ed-8d4c-1354749e9922,a1080e7a-821d-4268-8e9f-3bb45f22e060,,AwsApiCall,374542718929,
cbirdsey,ASIAVOND4K7IXN34CB4J,2020-10-13T13:37:34Z,rds.amazonaws.com,DeleteDBInstance,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::RDS::DBInstance"",""resourceName"":""primary""},{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-00ad567dcc526deb8""},{""resourceType"":""AWS::RDS::DBSubnetGroup"",""resourceName"":""primary_rds""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0ff9016e05a7289a5""},{""resourceType"":""AWS::RDS::DBOptionGroup"",""resourceName"":""default:mysql-8-0""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-039e7fd718f76dbf2""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0fbf8b6b7ff452e64""},{""resourceType"":""AWS::RDS::DBParameterGroup"",""resourceName"":""default.mysql8.0""}]",c8361f4b-c9c9-4771-b070-018a024d0554,67557db6-ba0e-4dec-860e-9fa5d4f82be2,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:36:48Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-039e7fd718f76dbf2""}]",8476e156-5355-4553-aede-46306d763097,9d4b6577-69a6-4d60-927b-a092e38e7931,,AwsApiCall,374542718929,
cbirdsey,ASIAVOND4K7I43CXHKQ4,2020-10-13T13:36:23Z,s3.amazonaws.com,DeleteBucket,us-east-1,104.12.53.248,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cf-templates-1mediq7cadc98-us-east-1""}]",25A777BDF0E1E625,9d72d30c-50eb-42c8-aee6-8c809885f77b,false,AwsApiCall,374542718929,
cbirdsey,ASIAVOND4K7I43CXHKQ4,2020-10-13T13:36:22Z,s3.amazonaws.com,DeleteBucket,us-east-1,104.12.53.248,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",BucketNotEmpty,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cf-templates-1mediq7cadc98-us-east-1""}]",F87475C5860F0911,5b783978-fb84-430b-b263-a4857ff8969b,false,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:36:16Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-083caa1e7f88d9f0b""}]",7f13e210-a38b-4f28-a744-551cfeede86c,4955d80b-7dc4-4dc9-a591-c4e27224bceb,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:36:15Z,ec2.amazonaws.com,DetachInternetGateway,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-00ad567dcc526deb8""},{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0763ef1e218e74002""}]",4889e331-ba72-4487-a82c-7aeebc61f0ea,89dc1370-8b42-40a1-84c0-710473054864,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:35:30Z,ec2.amazonaws.com,DeleteSecurityGroup,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0ff9016e05a7289a5""}]",cfad3868-ff00-48ea-a92a-64a436313992,e817e053-ca30-4ae9-a780-902d9ec90546,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:35:27Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0fbf8b6b7ff452e64""}]",a56192c0-469b-4caa-8939-4fddd5a3c366,9472ba11-ec60-4e95-bc59-9cefae63d5a3,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:33:53Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-039e7fd718f76dbf2""}]",c22612ee-6534-4951-988a-8a7c00744e94,40b5cef4-ceaa-4324-a33e-0298b355286c,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:33:38Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-083caa1e7f88d9f0b""}]",7402c7d4-bac8-4ea1-9a26-bbfe3f50a9ec,0ca5114e-cfd6-4727-8de8-6eb455496d77,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:33:38Z,ec2.amazonaws.com,DetachInternetGateway,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-00ad567dcc526deb8""},{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0763ef1e218e74002""}]",15122a77-b23f-4c03-a184-5351311548d8,721871de-5157-4cf8-b0f8-0cca67a26e78,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:33:07Z,ec2.amazonaws.com,DeleteSecurityGroup,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0ff9016e05a7289a5""}]",f8a355ed-adbf-4c5c-9b80-347add881f0e,729fff92-21ec-440c-b45e-de40fd9b26e4,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:33:06Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0fbf8b6b7ff452e64""}]",a0550bda-6413-4f50-9cd5-5c0ea882d59e,9175970e-3e25-4257-ab32-1c55b9a03ed4,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:32:20Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-083caa1e7f88d9f0b""}]",5d27453f-f9c2-41db-9ff5-9ce77d74c942,8ed04a1c-79d3-4abf-bf5c-47b4dc28a99c,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:32:19Z,ec2.amazonaws.com,DetachInternetGateway,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-00ad567dcc526deb8""},{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0763ef1e218e74002""}]",1ccd0fff-7e6e-43b1-a74b-415d60762910,18733956-95be-43c4-8404-1fe9da216270,,AwsApiCall,374542718929,
cbirdsey,,2020-10-13T13:32:19Z,ec2.amazonaws.com,DeleteSubnet,us-east-1,cloudformation.amazonaws.com,cloudformation.amazonaws.com,Client.DependencyViolation,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-039e7fd718f76dbf2""}]",02dcba86-492d-41bb-a6f3-411793a22fe5,edf8f870-86a2-408d-ad9a-4602e451c767,,AwsApiCall,374542718929,
